,index,errors
26,208,"[{'type': 'value_error', 'loc': ('ship_date',), 'msg': 'Value error, Unrecognised value: to ship', 'input': 'to ship', 'ctx': {'error': ValueError('Unrecognised value: to ship')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]"
27,209,"[{'type': 'value_error', 'loc': ('ship_date',), 'msg': 'Value error, Unrecognised value: to ship', 'input': 'to ship', 'ctx': {'error': ValueError('Unrecognised value: to ship')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]"
28,216,"[{'type': 'value_error', 'loc': ('ship_date',), 'msg': 'Value error, Unrecognised value: to ship', 'input': 'to ship', 'ctx': {'error': ValueError('Unrecognised value: to ship')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]"
29,217,"[{'type': 'value_error', 'loc': ('ship_date',), 'msg': 'Value error, Unrecognised value: to ship', 'input': 'to ship', 'ctx': {'error': ValueError('Unrecognised value: to ship')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]"
30,220,"[{'type': 'value_error', 'loc': ('ship_date',), 'msg': 'Value error, Unrecognised value: to ship', 'input': 'to ship', 'ctx': {'error': ValueError('Unrecognised value: to ship')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]"
31,221,"[{'type': 'value_error', 'loc': ('ship_date',), 'msg': 'Value error, Unrecognised value: to ship', 'input': 'to ship', 'ctx': {'error': ValueError('Unrecognised value: to ship')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]"
32,228,"[{'type': 'value_error', 'loc': ('ship_date',), 'msg': 'Value error, Unrecognised value: to ship', 'input': 'to ship', 'ctx': {'error': ValueError('Unrecognised value: to ship')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]"
33,229,"[{'type': 'value_error', 'loc': ('ship_date',), 'msg': 'Value error, Unrecognised value: to ship', 'input': 'to ship', 'ctx': {'error': ValueError('Unrecognised value: to ship')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]"
34,232,"[{'type': 'value_error', 'loc': ('ship_date',), 'msg': 'Value error, Unrecognised value: to ship', 'input': 'to ship', 'ctx': {'error': ValueError('Unrecognised value: to ship')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]"
35,233,"[{'type': 'value_error', 'loc': ('ship_date',), 'msg': 'Value error, Unrecognised value: to ship', 'input': 'to ship', 'ctx': {'error': ValueError('Unrecognised value: to ship')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]"
